playerId,name,proTeam,position,proj_points
4882093,Bhayshul Tuten,JAX,RB,97.82
4373626,Tyler Allgeier,ATL,RB,93.45
2971573,Ka'imi Fairbairn,HOU,K,109.75
4686472,Marvin Mims Jr.,DEN,WR,128.43
4428557,Tyjae Spears,TEN,RB,104.87
4249087,Matt Gay,WSH,K,114.0
-16009,Packers D/ST,GB,D/ST,104.18
4360310,Trevor Lawrence,JAX,QB,287.36
-16011,Colts D/ST,IND,D/ST,116.11
12483,Matthew Stafford,LAR,QB,283.1
4241479,Tua Tagovailoa,MIA,QB,286.02
4711533,Ollie Gordon II,MIA,RB,77.37
3124679,Jason Sanders,MIA,K,88.05
4360939,Rashod Bateman,BAL,WR,115.05
4569587,Wan'Dale Robinson,NYG,WR,119.27
3895856,Christian Kirk,HOU,WR,110.82
5081397,Dylan Sampson,CLE,RB,74.88
4688380,Cam Ward,TEN,QB,263.52
-16020,Jets D/ST,NYJ,D/ST,103.94
4429501,Ray Davis,BUF,RB,78.43
3054212,Jonnu Smith,PIT,TE,107.35
2976499,Amari Cooper,LV,WR,82.52
2576925,Darren Waller,MIA,TE,113.01
4243331,Cade Otton,TB,TE,112.94
4360423,Michael Penix Jr.,ATL,QB,258.03
4427095,DeMario Douglas,NE,WR,114.4
4685278,Luther Burden III,CHI,WR,75.19
-16027,Buccaneers D/ST,TB,D/ST,111.51
4431545,Will Shipley,PHI,RB,52.9
4430539,Brenton Strange,JAX,TE,109.66
4361432,Romeo Doubs,GB,WR,103.86
-16012,Chiefs D/ST,KC,D/ST,102.57
2985659,Wil Lutz,DEN,K,109.41
-16019,Giants D/ST,NYG,D/ST,110.23
4360234,Evan McPherson,CIN,K,106.55
-16025,49ers D/ST,SF,D/ST,80.8
4038441,Justice Hill,BAL,RB,89.42
4685720,Bryce Young,CAR,QB,275.02
4686612,Tre' Harris,LAC,WR,88.74
3059915,Kareem Hunt,KC,RB,68.02
-16028,Commanders D/ST,WSH,D/ST,68.48
4429059,Woody Marks,HOU,RB,61.85
4361411,Pat Freiermuth,PIT,TE,103.06
4242433,Joshua Palmer,BUF,WR,98.85
4566192,Joshua Karty,LAR,K,111.33
4682745,Jaylen Wright,MIA,RB,42.09
4360635,Chig Okonkwo,TEN,TE,107.38
16339,Brandon McManus,GB,K,110.75
4603186,Jack Bech,LV,WR,32.15
-16003,Bears D/ST,CHI,D/ST,95.43
3912547,Sam Darnold,SEA,QB,248.02
15864,Geno Smith,LV,QB,268.23
4695883,Jalen Coker,CAR,WR,88.53
15795,DeAndre Hopkins,BAL,WR,74.01
8439,Aaron Rodgers,PIT,QB,238.61
4360761,Michael Wilson,ARI,WR,93.14
2577327,Tyler Lockett,TEN,WR,79.84
4372561,Isaac Guerendo,SF,RB,32.94
4038815,Rico Dowdle,CAR,RB,73.72
3049899,Younghoe Koo,ATL,K,101.2
4361050,Isaiah Likely,BAL,TE,83.15
4613202,Kyle Williams,NE,WR,44.51
4599739,Kendre Miller,NO,RB,75.08
-16014,Rams D/ST,LAR,D/ST,93.0
4429096,Blake Corum,LAR,RB,42.84
4360238,Dameon Pierce,HOU,RB,46.79
3117256,Dalton Schultz,HOU,TE,100.47
2473037,Jason Myers,SEA,K,110.12
4808766,Mason Taylor,NYJ,TE,103.15
4567104,Will Reichard,MIN,K,108.04
5123663,Isaac TeSlaa,DET,WR,46.35
4432775,Dont'e Thornton Jr.,LV,WR,38.62
4426386,Roschon Johnson,CHI,RB,73.8
3916945,Darius Slayton,NYG,WR,96.76
4689114,Jaxson Dart,NYG,QB,135.46
4429023,MarShawn Lloyd,GB,RB,46.31
-16015,Dolphins D/ST,MIA,D/ST,85.59
-16006,Cowboys D/ST,DAL,D/ST,64.91
3051909,Daniel Carlson,LV,K,104.52
4600981,Pat Bryant,DEN,WR,78.74
4430834,Jalen McMillan,TB,WR,25.74
3728262,Ray-Ray McCloud III,ATL,WR,87.54
3929785,Nick Westbrook-Ikhine,MIA,WR,92.88
4432762,Shedeur Sanders,CLE,QB,57.29
3917792,Daniel Jones,IND,QB,217.35
10621,Nick Folk,NYJ,K,109.74
4429025,Quentin Johnston,LAC,WR,82.99
-16024,Chargers D/ST,LAC,D/ST,76.5
14881,Russell Wilson,NYG,QB,123.45
3116164,Mike Gesicki,CIN,TE,91.44
4678006,Elijah Arroyo,SEA,TE,94.87
2573401,Tyler Higbee,LAR,TE,98.59
-16004,Bengals D/ST,CIN,D/ST,65.77
4372066,Jake Moody,SF,K,99.01
4360797,Tutu Atwell,LAR,WR,93.39
4429084,Anthony Richardson Sr.,IND,QB,71.99
4597500,Adonai Mitchell,IND,WR,71.08
4883647,Elic Ayomanor,TEN,WR,64.3
4045163,Miles Sanders,DAL,RB,66.89
2576414,Raheem Mostert,LV,RB,42.07
4429148,Theo Johnson,NYG,TE,97.35
11252,Joe Flacco,CLE,QB,107.34
-16005,Browns D/ST,CLE,D/ST,72.72
4243389,Calvin Austin III,PIT,WR,88.32
4874509,DJ Giddens,IND,RB,17.49
16731,Brandin Cooks,NO,WR,49.08
-16030,Jaguars D/ST,JAX,D/ST,91.65
4362619,Chris Rodriguez Jr.,WSH,RB,30.74
3676833,KaVontae Turpin,DAL,WR,74.83
4608686,Kyle Monangai,CHI,RB,47.79
4248528,Christian Watson,GB,WR,43.43
3115306,Josh Reynolds,NYJ,WR,92.72
4596334,Keaton Mitchell,BAL,RB,26.8
4361577,Dyami Brown,JAX,WR,87.81
4431280,Troy Franklin,DEN,WR,67.27
3116389,Samaje Perine,CIN,RB,54.4
4597703,Tory Horton,SEA,WR,46.28
4368003,Andrei Iosivas,CIN,WR,58.66
4360078,Alec Pierce,IND,WR,59.08
4371733,Kenneth Gainwell,PIT,RB,52.37
4258595,Cole Kmet,CHI,TE,33.94
4571557,Spencer Shrader,IND,K,106.56
4685350,Trevor Etienne,CAR,RB,21.64
4431588,Ja'Tavion Sanders,CAR,TE,80.66
4431492,Roman Wilson,PIT,WR,55.99
4695193,Efton Chism III,NE,WR,10.58
4241555,Elijah Mitchell,KC,RB,44.79
4426339,Spencer Rattler,NO,QB,145.58
